frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
0,0.000000,1,true,false,0,0,0,0,0,0,0
1,0.000000,1,true,false,0,0,0,0,0,0,0
2,0.000000,1,true,false,0,0,0,0,0,0,0
3,0.000000,1,true,false,0,0,0,0,0,0,0
4,0.000000,1,true,false,0,0,0,0,0,0,0
5,0.000000,1,true,false,0,0,0,0,0,0,0
6,0.000000,1,true,false,0,0,0,0,0,0,0
7,0.000000,1,true,false,0,0,0,0,0,0,0
8,0.000000,1,true,false,0,0,0,0,0,0,0
9,0.299957,2,false,true,0.003230212,0.009935537,-0.165063336,0.020278791,-0.008732962,-0.013848135,0.999660313
10,0.333281,2,false,false,0.003230212,0.009935536,-0.165063322,0.020278791,-0.008732962,-0.013848135,0.999660313
11,0.366645,2,false,false,0.003230212,0.009935536,-0.165063336,0.020278791,-0.008732962,-0.013848135,0.999660313
12,0.399951,2,false,false,0.003230212,0.009935535,-0.165063366,0.020278791,-0.008732962,-0.013848135,0.999660313
13,0.433258,2,false,false,0.003230212,0.009935535,-0.165063411,0.020278791,-0.008732962,-0.013848135,0.999660313
14,0.466609,2,false,false,0.003230212,0.009935535,-0.165063486,0.020278791,-0.008732962,-0.013848135,0.999660313
15,0.499917,2,false,false,0.003230212,0.009935534,-0.165063560,0.020278791,-0.008732962,-0.013848135,0.999660313
16,0.533247,2,false,false,0.003230212,0.009935534,-0.165063635,0.020278791,-0.008732962,-0.013848135,0.999660313
17,0.566584,2,false,true,0.003230212,0.009935534,-0.165063709,0.020278791,-0.008732962,-0.013848135,0.999660313
18,0.599891,2,false,false,0.003230211,0.009935534,-0.165063784,0.020278791,-0.008732962,-0.013848135,0.999660313
19,0.633240,2,false,false,0.003230211,0.009935535,-0.165063858,0.020278791,-0.008732962,-0.013848135,0.999660313
20,0.666548,2,false,false,0.003230211,0.009935535,-0.165063933,0.020278791,-0.008732962,-0.013848135,0.999660313
21,0.699876,2,false,false,0.003230210,0.009935535,-0.165064007,0.020278791,-0.008732962,-0.013848135,0.999660313
22,0.733204,2,false,false,0.003230209,0.009935534,-0.165064082,0.020278791,-0.008732962,-0.013848135,0.999660313
23,0.766545,2,false,false,0.003230209,0.009935533,-0.165064156,0.020278791,-0.008732962,-0.013848135,0.999660313
24,0.799863,2,false,false,0.003230208,0.009935531,-0.165064231,0.020278791,-0.008732962,-0.013848135,0.999660313
